#Contract;ISIN;Coupon;Maturity;ConvFac
FBTM SI 20230308 PS;IT0005500068;2.650000;01.12.2027;0.867067
FBTM SI 20230608 PS;IT0005467482;0.450000;15.02.2029;0.739788
FBTM SI 20230608 PS;IT0005323032;2.000000;01.02.2028;0.843251
FBTM SI 20230608 PS;IT0005433690;0.250000;15.03.2028;0.768096
FBTM SI 20230608 PS;IT0005340929;2.800000;01.12.2028;0.856302
FBTM SI 20230608 PS;IT0005445306;0.500000;15.07.2028;0.764765
FBTM SI 20230608 PS;IT0004889033;4.750000;01.09.2028;0.948332
FBTP SI 20221208 PS;IT0005436693;0.600000;01.08.2031;0.644619
FBTP SI 20221208 PS;IT0005466013;0.950000;01.06.2032;0.644045
FBTP SI 20221208 PS;IT0005449969;0.950000;01.12.2031;0.658336
FBTP SI 20221208 PS;IT0005494239;2.500000;01.12.2032;0.745660
FBTP SI 20230308 PS;IT0005466013;0.950000;01.06.2032;0.650890
FBTP SI 20230308 PS;IT0005449969;0.950000;01.12.2031;0.665383
FBTP SI 20230308 PS;IT0005494239;2.500000;01.12.2032;0.750205
FBTP SI 20230308 PS;IT0005094088;1.650000;01.03.2032;0.706379
FBTP SI 20230308 PS;IT0005240350;2.450000;01.09.2033;0.732424
FBTP SI 20230608 PS;IT0005240350;2.450000;01.09.2033;0.737158
FBTP SI 20230608 PS;IT0005094088;1.650000;01.03.2032;0.712763
FBTP SI 20230608 PS;IT0005494239;2.500000;01.12.2032;0.755201
FBTP SI 20230608 PS;IT0005466013;0.950000;01.06.2032;0.658331
FBTS SI 20221208 PS;IT0005408502;1.850000;01.07.2025;0.904958
FBTS SI 20221208 PS;IT0005127086;2.000000;01.12.2025;0.894835
FBTS SI 20221208 PS;IT0005345183;2.500000;15.11.2025;0.909245
FBTS SI 20221208 PS;IT0005386245;0.350000;01.02.2025;0.889484
FBTS SI 20221208 PS;IT0005474330;0.000000;15.12.2024;0.889429
FBTS SI 20221208 PS;IT0005327306;1.450000;15.05.2025;0.900514
FBTS SI 20221208 PS;IT0004513641;5.000000;01.03.2025;0.980907
FBTS SI 20221208 PS;IT0005090318;1.500000;01.06.2025;0.899820
FBTS SI 20221208 PS;IT0004644735;4.500000;01.03.2026;0.958924
FBTS SI 20221208 PS;IT0005419848;0.500000;01.02.2026;0.846858
FBTS SI 20221208 PS;IT0005493298;1.200000;15.08.2025;0.884877
FBTS SI 20230308 PS;IT0005327306;1.450000;15.05.2025;0.909851
FBTS SI 20230308 PS;IT0005090318;1.500000;01.06.2025;0.908966
FBTS SI 20230308 PS;IT0005345183;2.500000;15.11.2025;0.916165
FBTS SI 20230308 PS;IT0005127086;2.000000;01.12.2025;0.902703
FBTS SI 20230308 PS;IT0005419848;0.500000;01.02.2026;0.857630
FBTS SI 20230308 PS;IT0005493298;1.200000;15.08.2025;0.894498
FBTS SI 20230308 PS;IT0005437147;0.000000;01.04.2026;0.836668
FBTS SI 20230308 PS;IT0005170839;1.600000;01.06.2026;0.874903
FBTS SI 20230308 PS;IT0005408502;1.850000;01.07.2025;0.913356
FBTS SI 20230608 PS;IT0005370306;2.100000;15.07.2026;0.893688
FBTS SI 20230608 PS;IT0005170839;1.600000;01.06.2026;0.884082
FBTS SI 20230608 PS;IT0005419848;0.500000;01.02.2026;0.869415
FBTS SI 20230608 PS;IT0005437147;0.000000;01.04.2026;0.849299
FBTS SI 20230608 PS;IT0005345183;2.500000;15.11.2025;0.923669
FBTS SI 20230608 PS;IT0005454241;0.000000;01.08.2026;0.832625
FBTS SI 20230608 PS;IT0005493298;1.200000;15.08.2025;0.905030
FBTS SI 20230608 PS;IT0005127086;2.000000;01.12.2025;0.911284
FBTS SI 20230608 PS;IT0005408502;1.850000;01.07.2025;0.922530
FGBL SI 20221208 PS;DE0001102580;0.000000;15.02.2032;0.585788
FGBL SI 20221208 PS;DE0001030732;0.000000;15.08.2031;0.603250
FGBL SI 20221208 PS;DE0001102564;0.000000;15.08.2031;0.603250
FGBL SI 20221208 PS;DE0001102606;1.700000;15.08.2032;0.691015
FGBL SI 20230308 PS;DE0001102580;0.000000;15.02.2032;0.594076
FGBL SI 20230308 PS;DE0001102606;1.700000;15.08.2032;0.696796
FGBL SI 20230608 PS;DE0001102580;0.000000;15.02.2032;0.603058
FGBL SI 20230608 PS;DE0001102606;1.700000;15.08.2032;0.703125
FGBM SI 20221208 PS;DE0001102440;0.500000;15.02.2028;0.761227
FGBM SI 20221208 PS;DE0001102523;0.000000;15.11.2027;0.750486
FGBM SI 20221208 PS;DE0001030740;1.300000;15.10.2027;0.807231
FGBM SI 20221208 PS;DE0001102424;0.500000;15.08.2027;0.781425
FGBM SI 20221208 PS;DE0001141869;1.300000;15.10.2027;0.807231
FGBM SI 20230308 PS;DE0001102457;0.250000;15.08.2028;0.739934
FGBM SI 20230308 PS;DE0001102440;0.500000;15.02.2028;0.770831
FGBM SI 20230308 PS;DE0001030740;1.300000;15.10.2027;0.815601
FGBM SI 20230308 PS;DE0001102523;0.000000;15.11.2027;0.761104
FGBM SI 20230308 PS;DE0001141869;1.300000;15.10.2027;0.815601
FGBM SI 20230608 PS;DE0001102556;0.000000;15.11.2028;0.728878
FGBM SI 20230608 PS;DE0001102457;0.250000;15.08.2028;0.750499
FGBM SI 20230608 PS;DE0001102440;0.500000;15.02.2028;0.781203
FGBS SI 20221208 PS;DE0001102374;0.500000;15.02.2025;0.890720
FGBS SI 20221208 PS;DE0001141802;0.000000;18.10.2024;0.897845
FGBS SI 20221208 PS;DE0001104891;0.400000;13.09.2024;0.909314
FGBS SI 20230308 PS;DE0001141810;0.000000;11.04.2025;0.885461
FGBS SI 20230308 PS;DE0001102374;0.500000;15.02.2025;0.902156
FGBS SI 20230608 PS;DE0001102382;1.000000;15.08.2025;0.900749
FGBS SI 20230608 PS;DE0001141810;0.000000;11.04.2025;0.898825
FGBX SI 20221208 PS;DE0001102572;0.000000;15.08.2052;0.312286
FGBX SI 20221208 PS;DE0001102432;1.250000;15.08.2048;0.563611
FGBX SI 20221208 PS;DE0001102481;0.000000;15.08.2050;0.337769
FGBX SI 20221208 PS;DE0001030724;0.000000;15.08.2050;0.337769
FGBX SI 20230308 PS;DE0001030724;0.000000;15.08.2050;0.340978
FGBX SI 20230308 PS;DE0001102432;1.250000;15.08.2048;0.565991
FGBX SI 20230308 PS;DE0001102481;0.000000;15.08.2050;0.340978
FGBX SI 20230308 PS;DE0001102572;0.000000;15.08.2052;0.315253
FGBX SI 20230608 PS;DE0001102481;0.000000;15.08.2050;0.344440
FGBX SI 20230608 PS;DE0001102572;0.000000;15.08.2052;0.318454
FGBX SI 20230608 PS;DE0001030724;0.000000;15.08.2050;0.344440
FGBX SI 20230608 PS;DE0001102432;1.250000;15.08.2048;0.568590
FOAM SI 20221208 PS;FR0011317783;2.750000;25.10.2027;0.866121
FOAM SI 20221208 PS;FR0013286192;0.750000;25.05.2028;0.761900
FOAM SI 20221208 PS;FR001400AIN5;0.750000;25.02.2028;0.771033
FOAM SI 20230308 PS;FR001400AIN5;0.750000;25.02.2028;0.780202
FOAM SI 20230308 PS;FR0011317783;2.750000;25.10.2027;0.871795
FOAM SI 20230308 PS;FR0013286192;0.750000;25.05.2028;0.770930
FOAM SI 20230608 PS;FR0013286192;0.750000;25.05.2028;0.780717
FOAM SI 20230608 PS;FR0013341682;0.750000;25.11.2028;0.761697
FOAM SI 20230608 PS;FR001400AIN5;0.750000;25.02.2028;0.790071
FOAT SI 20221208 PS;FR0014007L00;0.000000;25.05.2032;0.576603
FOAT SI 20221208 PS;FR0014002WK3;0.000000;25.11.2031;0.593507
FOAT SI 20221208 PS;FR001400BKZ3;2.000000;25.11.2032;0.706583
FOAT SI 20230308 PS;FR0014007L00;0.000000;25.05.2032;0.584761
FOAT SI 20230308 PS;FR0014002WK3;0.000000;25.11.2031;0.601904
FOAT SI 20230308 PS;FR001400BKZ3;2.000000;25.11.2032;0.711770
FOAT SI 20230608 PS;FR0014007L00;0.000000;25.05.2032;0.593597
FOAT SI 20230608 PS;FR001400BKZ3;2.000000;25.11.2032;0.717468
